Source,Date,Mean
GISTEMP,2010-06,0.64
GCAG,2010-05,0.7539
GISTEMP,2010-05,0.74
GCAG,2010-04,0.8237
GISTEMP,2010-04,0.86
GCAG,2010-03,0.8403
GISTEMP,2010-03,0.91
GCAG,2010-02,0.7057
GISTEMP,2010-02,0.78
GCAG,2010-01,0.6979
GISTEMP,2010-01,0.73
GCAG,2009-12,0.6089
GISTEMP,2009-12,0.64
GCAG,2009-11,0.6648
GISTEMP,2009-11,0.77
GCAG,2009-10,0.6367
GISTEMP,2009-10,0.64
GCAG,2009-09,0.7006
GISTEMP,2009-09,0.69
GCAG,2009-08,0.6891
GISTEMP,2009-08,0.66
GCAG,2009-07,0.6327
GISTEMP,2009-07,0.71
GCAG,2009-06,0.6645
GISTEMP,2009-06,0.64
GCAG,2009-05,0.5802
GISTEMP,2009-05,0.63
GCAG,2009-04,0.6460
GISTEMP,2009-04,0.6
GCAG,2009-03,0.5729
GISTEMP,2009-03,0.52
GCAG,2009-02,0.5613
GISTEMP,2009-02,0.53
GCAG,2009-01,0.5866
GISTEMP,2009-01,0.6
GCAG,2008-12,0.5555
GISTEMP,2008-12,0.53
GCAG,2008-11,0.6621
GISTEMP,2008-11,0.66
GCAG,2008-10,0.6605
GISTEMP,2008-10,0.66
GCAG,2008-09,0.5231
GISTEMP,2008-09,0.64
GCAG,2008-08,0.5489
GISTEMP,2008-08,0.43
GCAG,2008-07,0.5699
GISTEMP,2008-07,0.6
GCAG,2008-06,0.5242
GISTEMP,2008-06,0.47
GCAG,2008-05,0.4938
GISTEMP,2008-05,0.5
GCAG,2008-04,0.4767
GISTEMP,2008-04,0.52
GCAG,2008-03,0.7576
GISTEMP,2008-03,0.73
GCAG,2008-02,0.3740
GISTEMP,2008-02,0.35
GCAG,2008-01,0.2682
GISTEMP,2008-01,0.25
GCAG,2007-12,0.4797
GISTEMP,2007-12,0.48
GCAG,2007-11,0.5125
GISTEMP,2007-11,0.57
GCAG,2007-10,0.5603
GISTEMP,2007-10,0.59
GCAG,2007-09,0.5715
GISTEMP,2007-09,0.64
GCAG,2007-08,0.5444
GISTEMP,2007-08,0.6
GCAG,2007-07,0.5241
GISTEMP,2007-07,0.61
GCAG,2007-06,0.5308
GISTEMP,2007-06,0.57
GCAG,2007-05,0.6040
GISTEMP,2007-05,0.67
GCAG,2007-04,0.7318
GISTEMP,2007-04,0.75
GCAG,2007-03,0.6635
GISTEMP,2007-03,0.71
GCAG,2007-02,0.6586
GISTEMP,2007-02,0.69
GCAG,2007-01,0.8772
GISTEMP,2007-01,0.96
GCAG,2006-12,0.7621
GISTEMP,2006-12,0.77
GCAG,2006-11,0.6393
GISTEMP,2006-11,0.72
GCAG,2006-10,0.6752
GISTEMP,2006-10,0.69
GCAG,2006-09,0.6257
GISTEMP,2006-09,0.64
GCAG,2006-08,0.6172
GISTEMP,2006-08,0.71
GCAG,2006-07,0.6134
GISTEMP,2006-07,0.54
GCAG,2006-06,0.6308
GISTEMP,2006-06,0.63
GCAG,2006-05,0.5465
GISTEMP,2006-05,0.47
GCAG,2006-04,0.5144
GISTEMP,2006-04,0.49
GCAG,2006-03,0.5924
GISTEMP,2006-03,0.62
GCAG,2006-02,0.6199
GISTEMP,2006-02,0.71
GCAG,2006-01,0.4584
GISTEMP,2006-01,0.56
GCAG,2005-12,0.6180
GISTEMP,2005-12,0.67
GCAG,2005-11,0.7215
GISTEMP,2005-11,0.75
GCAG,2005-10,0.6868
GISTEMP,2005-10,0.79
GCAG,2005-09,0.6814
GISTEMP,2005-09,0.76
GCAG,2005-08,0.6177
GISTEMP,2005-08,0.62
GCAG,2005-07,0.6516
GISTEMP,2005-07,0.65
GCAG,2005-06,0.6650
GISTEMP,2005-06,0.65
GCAG,2005-05,0.6525
GISTEMP,2005-05,0.64
GCAG,2005-04,0.7255
GISTEMP,2005-04,0.68
GCAG,2005-03,0.6885
GISTEMP,2005-03,0.69
GCAG,2005-02,0.5119
GISTEMP,2005-02,0.57
GCAG,2005-01,0.6207
GISTEMP,2005-01,0.71
GCAG,2004-12,0.5060
GISTEMP,2004-12,0.51
GCAG,2004-11,0.7545
GISTEMP,2004-11,0.72
GCAG,2004-10,0.6125
GISTEMP,2004-10,0.65
GCAG,2004-09,0.5260
GISTEMP,2004-09,0.52
GCAG,2004-08,0.5091
GISTEMP,2004-08,0.44
GCAG,2004-07,0.4761
GISTEMP,2004-07,0.26
GCAG,2004-06,0.4651
GISTEMP,2004-06,0.42
GCAG,2004-05,0.4412
GISTEMP,2004-05,0.41
GCAG,2004-04,0.5895
GISTEMP,2004-04,0.62
GCAG,2004-03,0.6945
GISTEMP,2004-03,0.65
GCAG,2004-02,0.7179
GISTEMP,2004-02,0.69
GCAG,2004-01,0.5924
GISTEMP,2004-01,0.57
GCAG,2003-12,0.7320
GISTEMP,2003-12,0.73
GCAG,2003-11,0.5730
GISTEMP,2003-11,0.54
GCAG,2003-10,0.7220
GISTEMP,2003-10,0.75
GCAG,2003-09,0.6346
GISTEMP,2003-09,0.65
GCAG,2003-08,0.6157
GISTEMP,2003-08,0.65
GCAG,2003-07,0.5365
GISTEMP,2003-07,0.54
GCAG,2003-06,0.5357
GISTEMP,2003-06,0.48
GCAG,2003-05,0.5916
GISTEMP,2003-05,0.62
GCAG,2003-04,0.5565
GISTEMP,2003-04,0.54
GCAG,2003-03,0.5654
GISTEMP,2003-03,0.57
GCAG,2003-02,0.5604
GISTEMP,2003-02,0.54
GCAG,2003-01,0.6869
GISTEMP,2003-01,0.72
GCAG,2002-12,0.4333
GISTEMP,2002-12,0.41
GCAG,2002-11,0.5871
GISTEMP,2002-11,0.59
GCAG,2002-10,0.4736
GISTEMP,2002-10,0.56
GCAG,2002-09,0.5640
GISTEMP,2002-09,0.64
GCAG,2002-08,0.5305
GISTEMP,2002-08,0.54
GCAG,2002-07,0.6174
GISTEMP,2002-07,0.6
GCAG,2002-06,0.5831
GISTEMP,2002-06,0.54
GCAG,2002-05,0.5581
GISTEMP,2002-05,0.64
GCAG,2002-04,0.5667
GISTEMP,2002-04,0.58
GCAG,2002-03,0.7857
GISTEMP,2002-03,0.9
GCAG,2002-02,0.7794
GISTEMP,2002-02,0.75
GCAG,2002-01,0.6975
GISTEMP,2002-01,0.74
GCAG,2001-12,0.5074
GISTEMP,2001-12,0.54
GCAG,2001-11,0.6824
GISTEMP,2001-11,0.69
GCAG,2001-10,0.4956
GISTEMP,2001-10,0.52
GCAG,2001-09,0.5001
GISTEMP,2001-09,0.55
GCAG,2001-08,0.5973
GISTEMP,2001-08,0.49
GCAG,2001-07,0.5534
GISTEMP,2001-07,0.6
GCAG,2001-06,0.5308
GISTEMP,2001-06,0.54
GCAG,2001-05,0.5950
GISTEMP,2001-05,0.59
GCAG,2001-04,0.5623
GISTEMP,2001-04,0.51
GCAG,2001-03,0.6265
GISTEMP,2001-03,0.57
GCAG,2001-02,0.3904
GISTEMP,2001-02,0.46
GCAG,2001-01,0.4702
GISTEMP,2001-01,0.44
GCAG,2000-12,0.3154
GISTEMP,2000-12,0.3
GCAG,2000-11,0.2557
GISTEMP,2000-11,0.33
GCAG,2000-10,0.2999
GISTEMP,2000-10,0.29
GCAG,2000-09,0.4311
GISTEMP,2000-09,0.43
GCAG,2000-08,0.4508
GISTEMP,2000-08,0.42
GCAG,2000-07,0.3906
GISTEMP,2000-07,0.42
GCAG,2000-06,0.4046
GISTEMP,2000-06,0.43
GCAG,2000-05,0.4635
GISTEMP,2000-05,0.39
GCAG,2000-04,0.6268
GISTEMP,2000-04,0.59
GCAG,2000-03,0.5536
GISTEMP,2000-03,0.59
GCAG,2000-02,0.5405
GISTEMP,2000-02,0.58
GCAG,2000-01,0.3412
GISTEMP,2000-01,0.26
GCAG,1999-12,0.5748
GISTEMP,1999-12,0.47
GCAG,1999-11,0.3644
GISTEMP,1999-11,0.4
GCAG,1999-10,0.3720
GISTEMP,1999-10,0.43
GCAG,1999-09,0.3952
GISTEMP,1999-09,0.43
GCAG,1999-08,0.3638
GISTEMP,1999-08,0.34
GCAG,1999-07,0.3975
GISTEMP,1999-07,0.41
GCAG,1999-06,0.4150
GISTEMP,1999-06,0.37
GCAG,1999-05,0.4043
GISTEMP,1999-05,0.32
GCAG,1999-04,0.4537
GISTEMP,1999-04,0.33
GCAG,1999-03,0.3684
GISTEMP,1999-03,0.33
GCAG,1999-02,0.6696
GISTEMP,1999-02,0.67
GCAG,1999-01,0.4981
GISTEMP,1999-01,0.48
GCAG,1998-12,0.5775
GISTEMP,1998-12,0.57
GCAG,1998-11,0.4086
GISTEMP,1998-11,0.49
GCAG,1998-10,0.4913
GISTEMP,1998-10,0.46
GCAG,1998-09,0.5238
GISTEMP,1998-09,0.45
GCAG,1998-08,0.6768
GISTEMP,1998-08,0.67
GCAG,1998-07,0.7304
GISTEMP,1998-07,0.7
GCAG,1998-06,0.6641
GISTEMP,1998-06,0.77
GCAG,1998-05,0.6645
GISTEMP,1998-05,0.71
GCAG,1998-04,0.7305
GISTEMP,1998-04,0.63
GCAG,1998-03,0.6360
GISTEMP,1998-03,0.61
GCAG,1998-02,0.8610
GISTEMP,1998-02,0.88
GCAG,1998-01,0.6016
GISTEMP,1998-01,0.6
GCAG,1997-12,0.6266
GISTEMP,1997-12,0.59
GCAG,1997-11,0.5821
GISTEMP,1997-11,0.65
GCAG,1997-10,0.6413
GISTEMP,1997-10,0.65
GCAG,1997-09,0.6199
GISTEMP,1997-09,0.55
GCAG,1997-08,0.5394
GISTEMP,1997-08,0.42
GCAG,1997-07,0.5045
GISTEMP,1997-07,0.36
GCAG,1997-06,0.5287
GISTEMP,1997-06,0.54
GCAG,1997-05,0.4170
GISTEMP,1997-05,0.38
GCAG,1997-04,0.4502
GISTEMP,1997-04,0.36
GCAG,1997-03,0.4583
GISTEMP,1997-03,0.5
GCAG,1997-02,0.4251
GISTEMP,1997-02,0.37
GCAG,1997-01,0.3714
GISTEMP,1997-01,0.32
GCAG,1996-12,0.3845
GISTEMP,1996-12,0.4
GCAG,1996-11,0.2780
GISTEMP,1996-11,0.4
GCAG,1996-10,0.2221
GISTEMP,1996-10,0.2
GCAG,1996-09,0.2602
GISTEMP,1996-09,0.26
GCAG,1996-08,0.3132
GISTEMP,1996-08,0.48
GCAG,1996-07,0.3194
GISTEMP,1996-07,0.35
GCAG,1996-06,0.3493
GISTEMP,1996-06,0.26
GCAG,1996-05,0.3869
GISTEMP,1996-05,0.29
GCAG,1996-04,0.2682
GISTEMP,1996-04,0.36
GCAG,1996-03,0.3219
GISTEMP,1996-03,0.34
GCAG,1996-02,0.4531
GISTEMP,1996-02,0.48
GCAG,1996-01,0.2584
GISTEMP,1996-01,0.27
GCAG,1995-12,0.3421
GISTEMP,1995-12,0.29
GCAG,1995-11,0.4482
GISTEMP,1995-11,0.44
GCAG,1995-10,0.4316
GISTEMP,1995-10,0.48
GCAG,1995-09,0.3813
GISTEMP,1995-09,0.34
GCAG,1995-08,0.4975
GISTEMP,1995-08,0.48
GCAG,1995-07,0.4232
GISTEMP,1995-07,0.48
GCAG,1995-06,0.4613
GISTEMP,1995-06,0.44
GCAG,1995-05,0.3509
GISTEMP,1995-05,0.28
GCAG,1995-04,0.4053
GISTEMP,1995-04,0.45
GCAG,1995-03,0.4608
GISTEMP,1995-03,0.45
GCAG,1995-02,0.6843
GISTEMP,1995-02,0.78
GCAG,1995-01,0.5457
GISTEMP,1995-01,0.5
GCAG,1994-12,0.3990
GISTEMP,1994-12,0.36
GCAG,1994-11,0.4471
GISTEMP,1994-11,0.45
GCAG,1994-10,0.4224
GISTEMP,1994-10,0.42
GCAG,1994-09,0.3266
GISTEMP,1994-09,0.31
GCAG,1994-08,0.3032
GISTEMP,1994-08,0.22
GCAG,1994-07,0.3083
GISTEMP,1994-07,0.31
GCAG,1994-06,0.3776
GISTEMP,1994-06,0.41
GCAG,1994-05,0.3769
GISTEMP,1994-05,0.28
GCAG,1994-04,0.3548
GISTEMP,1994-04,0.4
GCAG,1994-03,0.3523
GISTEMP,1994-03,0.26
GCAG,1994-02,0.0745
GISTEMP,1994-02,0.03
GCAG,1994-01,0.2854
GISTEMP,1994-01,0.3
GCAG,1993-12,0.3124
GISTEMP,1993-12,0.19
GCAG,1993-11,0.0887
GISTEMP,1993-11,0.07
GCAG,1993-10,0.2402
GISTEMP,1993-10,0.22
GCAG,1993-09,0.1650
GISTEMP,1993-09,0.1
GCAG,1993-08,0.2075
GISTEMP,1993-08,0.13
GCAG,1993-07,0.2288
GISTEMP,1993-07,0.27
GCAG,1993-06,0.2889
GISTEMP,1993-06,0.23
GCAG,1993-05,0.3394
GISTEMP,1993-05,0.26
GCAG,1993-04,0.3108
GISTEMP,1993-04,0.26
GCAG,1993-03,0.4176
GISTEMP,1993-03,0.35
GCAG,1993-02,0.3924
GISTEMP,1993-02,0.38
GCAG,1993-01,0.3800
GISTEMP,1993-01,0.37
GCAG,1992-12,0.2790
GISTEMP,1992-12,0.21
GCAG,1992-11,0.0855
GISTEMP,1992-11,0.04
GCAG,1992-10,0.1111
GISTEMP,1992-10,0.09
GCAG,1992-09,0.0575
GISTEMP,1992-09,0.0
GCAG,1992-08,0.1337
GISTEMP,1992-08,0.09
GCAG,1992-07,0.1308
GISTEMP,1992-07,0.13
GCAG,1992-06,0.2774
GISTEMP,1992-06,0.23
GCAG,1992-05,0.3227
GISTEMP,1992-05,0.32
GCAG,1992-04,0.2875
GISTEMP,1992-04,0.23
GCAG,1992-03,0.4306
GISTEMP,1992-03,0.46
GCAG,1992-02,0.4451
GISTEMP,1992-02,0.42
GCAG,1992-01,0.4666
GISTEMP,1992-01,0.45
GCAG,1991-12,0.3004
GISTEMP,1991-12,0.33
GCAG,1991-11,0.3130
GISTEMP,1991-11,0.3
GCAG,1991-10,0.3236
GISTEMP,1991-10,0.31
GCAG,1991-09,0.3798
GISTEMP,1991-09,0.49
GCAG,1991-08,0.3812
GISTEMP,1991-08,0.41
GCAG,1991-07,0.4381
GISTEMP,1991-07,0.5
GCAG,1991-06,0.4763
GISTEMP,1991-06,0.53
GCAG,1991-05,0.4062
GISTEMP,1991-05,0.39
GCAG,1991-04,0.5128
GISTEMP,1991-04,0.51
GCAG,1991-03,0.3648
GISTEMP,1991-03,0.35
GCAG,1991-02,0.4604
GISTEMP,1991-02,0.5
GCAG,1991-01,0.4479
GISTEMP,1991-01,0.42
GCAG,1990-12,0.4407
GISTEMP,1990-12,0.41
GCAG,1990-11,0.4725
GISTEMP,1990-11,0.45
GCAG,1990-10,0.4207
GISTEMP,1990-10,0.42
GCAG,1990-09,0.3085
GISTEMP,1990-09,0.29
GCAG,1990-08,0.3421
GISTEMP,1990-08,0.29
GCAG,1990-07,0.3400
GISTEMP,1990-07,0.43
GCAG,1990-06,0.4049
GISTEMP,1990-06,0.37
GCAG,1990-05,0.4224
GISTEMP,1990-05,0.46
GCAG,1990-04,0.4866
GISTEMP,1990-04,0.54
GCAG,1990-03,0.7259
GISTEMP,1990-03,0.75
GCAG,1990-02,0.4004
GISTEMP,1990-02,0.4
GCAG,1990-01,0.3568
GISTEMP,1990-01,0.4
GCAG,1989-12,0.3943
GISTEMP,1989-12,0.36
GCAG,1989-11,0.2472
GISTEMP,1989-11,0.2
GCAG,1989-10,0.2975
GISTEMP,1989-10,0.33
GCAG,1989-09,0.2976
GISTEMP,1989-09,0.36
GCAG,1989-08,0.2953
GISTEMP,1989-08,0.35
GCAG,1989-07,0.2968
GISTEMP,1989-07,0.32
GCAG,1989-06,0.2677
GISTEMP,1989-06,0.14
GCAG,1989-05,0.2727
GISTEMP,1989-05,0.17
GCAG,1989-04,0.2846
GISTEMP,1989-04,0.33
GCAG,1989-03,0.3304
GISTEMP,1989-03,0.36
GCAG,1989-02,0.3010
GISTEMP,1989-02,0.34
GCAG,1989-01,0.2099
GISTEMP,1989-01,0.16
GCAG,1988-12,0.3563
GISTEMP,1988-12,0.34
GCAG,1988-11,0.2236
GISTEMP,1988-11,0.12
GCAG,1988-10,0.2948
GISTEMP,1988-10,0.38
GCAG,1988-09,0.3123
GISTEMP,1988-09,0.4
GCAG,1988-08,0.3159
GISTEMP,1988-08,0.45
GCAG,1988-07,0.3383
GISTEMP,1988-07,0.34
GCAG,1988-06,0.3814
GISTEMP,1988-06,0.42
GCAG,1988-05,0.3766
GISTEMP,1988-05,0.44
GCAG,1988-04,0.4380
GISTEMP,1988-04,0.44
GCAG,1988-03,0.4791
GISTEMP,1988-03,0.48
GCAG,1988-02,0.3852
GISTEMP,1988-02,0.41
GCAG,1988-01,0.5437
GISTEMP,1988-01,0.56
GCAG,1987-12,0.5263
GISTEMP,1987-12,0.47
GCAG,1987-11,0.3261
GISTEMP,1987-11,0.25
GCAG,1987-10,0.3303
GISTEMP,1987-10,0.31
GCAG,1987-09,0.4271
GISTEMP,1987-09,0.38
GCAG,1987-08,0.3785
GISTEMP,1987-08,0.27
GCAG,1987-07,0.4130
GISTEMP,1987-07,0.46
GCAG,1987-06,0.2976
GISTEMP,1987-06,0.35
GCAG,1987-05,0.3291
GISTEMP,1987-05,0.26
GCAG,1987-04,0.2971
GISTEMP,1987-04,0.24
GCAG,1987-03,0.2509
GISTEMP,1987-03,0.16
GCAG,1987-02,0.4983
GISTEMP,1987-02,0.46
GCAG,1987-01,0.3075
GISTEMP,1987-01,0.35
GCAG,1986-12,0.2137
GISTEMP,1986-12,0.15
GCAG,1986-11,0.1510
GISTEMP,1986-11,0.11
GCAG,1986-10,0.2001
GISTEMP,1986-10,0.14
GCAG,1986-09,0.1661
GISTEMP,1986-09,0.01
GCAG,1986-08,0.1633
GISTEMP,1986-08,0.11
GCAG,1986-07,0.1603
GISTEMP,1986-07,0.12
GCAG,1986-06,0.2482
GISTEMP,1986-06,0.12
GCAG,1986-05,0.2464
GISTEMP,1986-05,0.26
GCAG,1986-04,0.2567
GISTEMP,1986-04,0.25
GCAG,1986-03,0.2927
GISTEMP,1986-03,0.29
GCAG,1986-02,0.2758
GISTEMP,1986-02,0.38
GCAG,1986-01,0.3210
GISTEMP,1986-01,0.29
GCAG,1985-12,0.1944
GISTEMP,1985-12,0.15
GCAG,1985-11,0.1137
GISTEMP,1985-11,0.09
GCAG,1985-10,0.1248
GISTEMP,1985-10,0.11
GCAG,1985-09,0.0969
GISTEMP,1985-09,0.15
GCAG,1985-08,0.1241
GISTEMP,1985-08,0.14
GCAG,1985-07,0.0726
GISTEMP,1985-07,-0.02
GCAG,1985-06,0.1241
GISTEMP,1985-06,0.16
GCAG,1985-05,0.1920
GISTEMP,1985-05,0.17
GCAG,1985-04,0.1452
GISTEMP,1985-04,0.1
GCAG,1985-03,0.1845
GISTEMP,1985-03,0.17
GCAG,1985-02,0.0154
GISTEMP,1985-02,-0.07
GCAG,1985-01,0.1758
GISTEMP,1985-01,0.21
GCAG,1984-12,-0.0962
GISTEMP,1984-12,-0.06
GCAG,1984-11,0.0351
GISTEMP,1984-11,0.04
GCAG,1984-10,0.1124
GISTEMP,1984-10,0.15
GCAG,1984-09,0.1378
GISTEMP,1984-09,0.19
GCAG,1984-08,0.1645
GISTEMP,1984-08,0.15
GCAG,1984-07,0.1153
GISTEMP,1984-07,0.15
GCAG,1984-06,0.1276
GISTEMP,1984-06,0.05
GCAG,1984-05,0.2797
GISTEMP,1984-05,0.34
GCAG,1984-04,0.1467
GISTEMP,1984-04,0.09
GCAG,1984-03,0.2685
GISTEMP,1984-03,0.29
GCAG,1984-02,0.1715
GISTEMP,1984-02,0.17
GCAG,1984-01,0.2808
GISTEMP,1984-01,0.3
GCAG,1983-12,0.2707
GISTEMP,1983-12,0.16
GCAG,1983-11,0.4285
GISTEMP,1983-11,0.31
GCAG,1983-10,0.2084
GISTEMP,1983-10,0.15
GCAG,1983-09,0.3132
GISTEMP,1983-09,0.38
GCAG,1983-08,0.3180
GISTEMP,1983-08,0.3
GCAG,1983-07,0.2603
GISTEMP,1983-07,0.15
GCAG,1983-06,0.2623
GISTEMP,1983-06,0.17
GCAG,1983-05,0.2851
GISTEMP,1983-05,0.36
GCAG,1983-04,0.2886
GISTEMP,1983-04,0.3
GCAG,1983-03,0.4229
GISTEMP,1983-03,0.42
GCAG,1983-02,0.4778
GISTEMP,1983-02,0.4
GCAG,1983-01,0.5125
GISTEMP,1983-01,0.52
GCAG,1982-12,0.4320
GISTEMP,1982-12,0.42
GCAG,1982-11,0.1465
GISTEMP,1982-11,0.12
GCAG,1982-10,0.1738
GISTEMP,1982-10,0.13
GCAG,1982-09,0.2310
GISTEMP,1982-09,0.15
GCAG,1982-08,0.1367
GISTEMP,1982-08,0.08
GCAG,1982-07,0.1394
GISTEMP,1982-07,0.12
GCAG,1982-06,0.1207
GISTEMP,1982-06,0.04
GCAG,1982-05,0.1870
GISTEMP,1982-05,0.15
GCAG,1982-04,0.2029
GISTEMP,1982-04,0.09
GCAG,1982-03,0.0810
GISTEMP,1982-03,-0.03
GCAG,1982-02,0.1549
GISTEMP,1982-02,0.15
GCAG,1982-01,0.1330
GISTEMP,1982-01,0.08
GCAG,1981-12,0.4183
GISTEMP,1981-12,0.39
GCAG,1981-11,0.2106
GISTEMP,1981-11,0.22
GCAG,1981-10,0.1661
GISTEMP,1981-10,0.14
GCAG,1981-09,0.1840
GISTEMP,1981-09,0.17
GCAG,1981-08,0.2391
GISTEMP,1981-08,0.33
GCAG,1981-07,0.2211
GISTEMP,1981-07,0.34
GCAG,1981-06,0.2814
GISTEMP,1981-06,0.31
GCAG,1981-05,0.2593
GISTEMP,1981-05,0.23
GCAG,1981-04,0.3537
GISTEMP,1981-04,0.31
GCAG,1981-03,0.4080
GISTEMP,1981-03,0.49
GCAG,1981-02,0.3604
GISTEMP,1981-02,0.41
GCAG,1981-01,0.4652
GISTEMP,1981-01,0.55
GCAG,1980-12,0.2634
GISTEMP,1980-12,0.2
GCAG,1980-11,0.3282
GISTEMP,1980-11,0.28
GCAG,1980-10,0.1789
GISTEMP,1980-10,0.19
GCAG,1980-09,0.1976
GISTEMP,1980-09,0.21
GCAG,1980-08,0.1916
GISTEMP,1980-08,0.26
GCAG,1980-07,0.2141
GISTEMP,1980-07,0.29
GCAG,1980-06,0.2435
GISTEMP,1980-06,0.16
GCAG,1980-05,0.3141
GISTEMP,1980-05,0.34
GCAG,1980-04,0.3059
GISTEMP,1980-04,0.33
GCAG,1980-03,0.2378
GISTEMP,1980-03,0.29
GCAG,1980-02,0.3486
GISTEMP,1980-02,0.42
GCAG,1980-01,0.3062
GISTEMP,1980-01,0.3
GCAG,1979-12,0.4993
GISTEMP,1979-12,0.47
GCAG,1979-11,0.2927
GISTEMP,1979-11,0.29
GCAG,1979-10,0.2902
GISTEMP,1979-10,0.25
GCAG,1979-09,0.2474
GISTEMP,1979-09,0.26
GCAG,1979-08,0.2216
GISTEMP,1979-08,0.14
GCAG,1979-07,0.1687
GISTEMP,1979-07,0.02
GCAG,1979-06,0.2130
GISTEMP,1979-06,0.13
GCAG,1979-05,0.1526
GISTEMP,1979-05,0.05
GCAG,1979-04,0.1090
GISTEMP,1979-04,0.12
GCAG,1979-03,0.2413
GISTEMP,1979-03,0.18
GCAG,1979-02,0.0877
GISTEMP,1979-02,-0.08
GCAG,1979-01,0.1575
GISTEMP,1979-01,0.14
GCAG,1978-12,0.1486
GISTEMP,1978-12,0.1
GCAG,1978-11,0.2238
